2018-05-21T18:31:25.651+0800 I CONTROL  [main] ***** SERVER RESTARTED *****
2018-05-21T18:31:25.694+0800 I CONTROL  [initandlisten] MongoDB starting : pid=35547 port=27017 dbpath=./mongodb 64-bit host=Allens-Mac.local
2018-05-21T18:31:25.694+0800 I CONTROL  [initandlisten] db version v3.2.18
2018-05-21T18:31:25.694+0800 I CONTROL  [initandlisten] git version: 4c1bae566c0c00f996a2feb16febf84936ecaf6f
2018-05-21T18:31:25.694+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 0.9.8zh 14 Jan 2016
2018-05-21T18:31:25.694+0800 I CONTROL  [initandlisten] allocator: system
2018-05-21T18:31:25.694+0800 I CONTROL  [initandlisten] modules: enterprise 
2018-05-21T18:31:25.694+0800 I CONTROL  [initandlisten] build environment:
2018-05-21T18:31:25.694+0800 I CONTROL  [initandlisten]     distarch: x86_64
2018-05-21T18:31:25.694+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2018-05-21T18:31:25.694+0800 I CONTROL  [initandlisten] options: { config: "./mongod.conf", net: { bindIp: "127.0.0.1" }, storage: { dbPath: "./mongodb" }, systemLog: { destination: "file", logAppend: true, path: "./mongo.log" } }
2018-05-21T18:31:25.696+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=9G,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),verbose=(recovery_progress),
2018-05-21T18:31:26.034+0800 I NETWORK  [HostnameCanonicalizationWorker] Starting hostname canonicalization worker
2018-05-21T18:31:26.035+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory './mongodb/diagnostic.data'
2018-05-21T18:31:26.036+0800 I NETWORK  [initandlisten] waiting for connections on port 27017
2018-05-21T18:31:46.075+0800 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49529 #1 (1 connection now open)
2018-05-21T18:46:30.087+0800 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.1.105, "nodename nor servname provided, or not known"), (192.168.1.105, "nodename nor servname provided, or not known") ]
2018-05-21T19:01:33.344+0800 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.1.105, "nodename nor servname provided, or not known"), (192.168.1.105, "nodename nor servname provided, or not known") ]
2018-05-21T19:07:26.878+0800 I NETWORK  [conn1] end connection 127.0.0.1:49529 (0 connections now open)
